[Mon Mar 25 18:11:01.610036 2019] [authz_core:error] [pid 31873] [client 218.69.91.88:16078] AH01630: client denied by server configuration: /var/www/html/app.bisa.fr/public_html/.php
[Tue Mar 26 03:04:56.183467 2019] [authz_core:error] [pid 12693] [client 54.201.57.51:50906] AH01630: client denied by server configuration: /var/www/html/app.bisa.fr/public_html/.php
[Thu Mar 28 11:16:01.934850 2019] [authz_core:error] [pid 30691] [client 61.19.114.22:11194] AH01630: client denied by server configuration: /var/www/html/app.bisa.fr/public_html/.php
[Fri Mar 29 15:18:02.719487 2019] [core:error] [pid 674] [client 178.62.82.141:51068] AH00126: Invalid URI in request GET /../../../forgot-password HTTP/1.1
[Fri Mar 29 15:18:03.036488 2019] [core:error] [pid 677] [client 178.62.82.141:51238] AH00126: Invalid URI in request GET /../../../signup HTTP/1.1
[Fri Mar 29 15:18:03.345205 2019] [core:error] [pid 676] [client 178.62.82.141:51462] AH00126: Invalid URI in request GET /../../../anonymous-signup HTTP/1.1
[Fri Mar 29 18:44:19.287793 2019] [authz_core:error] [pid 739] [client 218.146.170.101:28176] AH01630: client denied by server configuration: /var/www/html/app.bisa.fr/public_html/.php
[Sat Mar 30 17:12:39.417686 2019] [php7:error] [pid 4368] [client 118.140.64.34:42557] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
[Sat Mar 30 17:12:39.865449 2019] [php7:error] [pid 4350] [client 118.140.64.34:42679] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
[Sat Mar 30 17:12:40.285507 2019] [php7:error] [pid 4351] [client 118.140.64.34:42815] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
[Sat Mar 30 17:12:40.822049 2019] [php7:error] [pid 4352] [client 118.140.64.34:42934] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
[Sat Mar 30 17:12:41.267938 2019] [php7:error] [pid 7603] [client 118.140.64.34:43071] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
[Sat Mar 30 17:12:41.692070 2019] [php7:error] [pid 4356] [client 118.140.64.34:43185] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
[Sat Mar 30 17:12:42.173382 2019] [php7:error] [pid 4354] [client 118.140.64.34:43300] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
[Sat Mar 30 17:12:42.615044 2019] [php7:error] [pid 4355] [client 118.140.64.34:43429] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
[Sat Mar 30 17:12:43.057289 2019] [php7:error] [pid 4353] [client 118.140.64.34:43552] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
[Sat Mar 30 17:12:43.445971 2019] [php7:error] [pid 4357] [client 118.140.64.34:43672] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
[Sat Mar 30 17:12:43.856233 2019] [php7:error] [pid 4358] [client 118.140.64.34:43776] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
[Sat Mar 30 17:12:44.268541 2019] [php7:error] [pid 4361] [client 118.140.64.34:43887] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
[Sat Mar 30 17:12:44.804505 2019] [php7:error] [pid 4359] [client 118.140.64.34:43987] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
[Sat Mar 30 17:12:45.339960 2019] [php7:error] [pid 4360] [client 118.140.64.34:44148] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
[Sat Mar 30 17:12:45.854172 2019] [php7:error] [pid 8791] [client 118.140.64.34:44281] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
[Sat Mar 30 17:12:46.243895 2019] [php7:error] [pid 4362] [client 118.140.64.34:44423] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
[Sat Mar 30 17:12:46.673186 2019] [php7:error] [pid 4363] [client 118.140.64.34:44530] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
[Sat Mar 30 17:12:47.079778 2019] [php7:error] [pid 4364] [client 118.140.64.34:44633] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
[Sat Mar 30 17:12:47.527984 2019] [php7:error] [pid 4365] [client 118.140.64.34:44740] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
[Sat Mar 30 17:12:47.952858 2019] [php7:error] [pid 4366] [client 118.140.64.34:44849] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
[Sat Mar 30 17:12:48.377843 2019] [php7:error] [pid 4367] [client 118.140.64.34:44975] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
[Sat Mar 30 17:12:48.864951 2019] [php7:error] [pid 4369] [client 118.140.64.34:45080] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
[Sat Mar 30 17:12:49.312354 2019] [php7:error] [pid 4370] [client 118.140.64.34:45221] script '/var/www/html/app.bisa.fr/public_html/index.php' not found or unable to stat
